#c,lx,ly,rx,x,y,z,b,w
r, 171.58, 445.71, 197.17, 458.96, -11.08, 20.52, -0.59, 44.00, -4.95,
g, 206.65, 457.38, 229.03, 469.85, -9.25, 21.17, -0.58, 44.00, -4.95,
b, 237.37, 428.41, 253.44, 443.14, -7.65, 19.64, -0.63, 44.00, -4.95,
y, 224.31, 395.31, 238.84, 412.33, -8.35, 17.87, -0.67, 44.00, -4.95,
r, 184.90, 458.60, 210.12, 471.14, -10.38, 21.23, -0.57, 44.00, -5.95,
g, 219.75, 470.70, 242.08, 482.43, -8.56, 21.90, -0.53, 44.00, -5.95,
b, 250.99, 441.53, 265.85, 455.72, -6.95, 20.34, -0.72, 44.00, -5.95,
y, 237.39, 408.04, 251.38, 424.51, -7.66, 18.56, -0.68, 44.00, -5.95,
r, 198.21, 471.70, 223.06, 483.27, -9.68, 21.94, -0.55, 44.00, -6.95,
g, 233.07, 483.56, 254.81, 494.70, -7.86, 22.60, -0.55, 44.00, -6.95,
b, 264.12, 454.66, 279.25, 468.25, -6.25, 21.07, -0.64, 44.00, -6.95,
y, 251.15, 420.77, 264.36, 436.74, -6.95, 19.25, -0.71, 44.00, -6.95,
r, 211.53, 485.23, 236.20, 495.41, -8.98, 22.66, -0.50, 44.00, -7.95,
g, 246.39, 496.66, 267.78, 507.44, -7.15, 23.32, -0.54, 44.00, -7.95,
b, 277.06, 467.97, 292.29, 480.77, -5.56, 21.80, -0.59, 44.00, -7.95,
y, 264.23, 434.88, 277.34, 449.22, -6.25, 19.99, -0.68, 44.00, -7.95,
r, 224.84, 497.68, 248.74, 508.35, -8.28, 23.36, -0.54, 44.00, -8.95,
g, 259.48, 509.30, 280.98, 519.48, -6.46, 24.03, -0.47, 44.00, -8.95,
b, 290.56, 480.91, 305.34, 493.30, -4.85, 22.51, -0.60, 44.00, -8.95,
y, 276.61, 447.95, 290.57, 461.70, -5.59, 20.73, -0.54, 44.00, -8.95,
r, 237.94, 511.00, 261.88, 520.28, -7.59, 24.08, -0.48, 44.00, -9.95,
g, 272.58, 522.40, 293.48, 531.98, -5.77, 24.74, -0.50, 44.00, -9.95,
b, 303.88, 494.04, 317.87, 505.65, -4.15, 23.21, -0.66, 44.00, -9.95,
y, 290.38, 461.03, 303.55, 473.93, -4.86, 21.43, -0.59, 44.00, -9.95,
r, 251.69, 523.89, 261.88, 520.28, -7.03, 24.07, -2.07, 44.00, -10.95,
g, 286.12, 535.26, 306.45, 544.72, -5.05, 25.45, -0.53, 44.00, -10.95,
b, 316.63, 506.98, 331.26, 517.83, -3.46, 23.93, -0.54, 44.00, -10.95,
y, 304.49, 473.76, 315.78, 486.42, -4.14, 22.09, -0.77, 44.00, -10.95,
r, 265.22, 536.99, 287.56, 545.55, -6.16, 25.50, -0.58, 44.00, -11.95,
g, 299.22, 548.58, 319.18, 557.22, -4.36, 26.17, -0.54, 44.00, -11.95,
b, 330.32, 520.49, 344.31, 530.35, -2.74, 24.65, -0.59, 44.00, -11.95,
y, 317.39, 487.09, 329.26, 499.40, -3.44, 22.85, -0.67, 44.00, -11.95,
r, 277.89, 550.09, 300.30, 557.89, -5.48, 26.22, -0.53, 44.00, -12.95,
g, 312.31, 561.68, 331.92, 569.26, -3.67, 26.87, -0.55, 44.00, -12.95,
b, 343.08, 533.62, 357.18, 543.40, -2.06, 25.39, -0.56, 44.00, -12.95,
y, 330.32, 500.54, 341.74, 511.38, -2.76, 23.55, -0.70, 44.00, -12.95,
r, 291.42, 563.19, 313.44, 570.42, -4.76, 26.94, -0.53, 44.00, -13.95,
g, 325.63, 574.32, 345.11, 582.00, -2.95, 27.59, -0.53, 44.00, -13.95,
b, 356.58, 546.56, 369.88, 555.23, -1.34, 26.07, -0.62, 44.00, -13.95,
y, 343.24, 513.20, 355.72, 524.11, -2.06, 24.29, -0.54, 44.00, -13.95,
r, 304.74, 576.07, 325.98, 582.55, -4.06, 27.63, -0.59, 44.00, -14.95,
g, 339.18, 587.41, 357.62, 594.73, -2.24, 28.29, -0.63, 44.00, -14.95,
b, 369.52, 559.12, 382.75, 567.76, -0.65, 26.78, -0.61, 44.00, -14.95,
y, 356.94, 526.13, 367.95, 536.84, -1.34, 24.98, -0.70, 44.00, -14.95,
r, 317.84, 588.75, 338.92, 594.89, -3.36, 28.34, -0.57, 44.00, -15.95,
g, 352.04, 600.28, 370.58, 607.23, -1.55, 29.01, -0.59, 44.00, -15.95,
b, 382.84, 571.88, 395.80, 580.63, 0.06, 27.49, -0.63, 44.00, -15.95,
y, 369.87, 538.80, 381.19, 548.82, -0.65, 25.68, -0.64, 44.00, -15.95,
r, 330.51, 601.85, 351.86, 607.43, -2.68, 29.07, -0.52, 44.00, -16.95,
g, 365.14, 613.38, 383.55, 619.27, -0.85, 29.72, -0.59, 44.00, -16.95,
b, 395.78, 585.01, 408.33, 593.33, 0.75, 28.21, -0.67, 44.00, -16.95,
y, 382.54, 552.24, 393.92, 561.80, 0.03, 26.42, -0.62, 44.00, -16.95,
r, 343.82, 614.52, 365.00, 619.96, -1.97, 29.78, -0.51, 44.00, -17.95,
g, 378.01, 625.79, 396.75, 631.55, -0.15, 30.43, -0.53, 44.00, -17.95,
b, 408.72, 597.76, 421.55, 605.33, 1.45, 28.91, -0.62, 44.00, -17.95,
y, 395.20, 564.65, 406.90, 573.79, 0.72, 27.12, -0.57, 44.00, -17.95,
r, 356.50, 627.19, 377.54, 632.30, -1.29, 30.49, -0.51, 44.00, -18.95,
g, 390.65, 638.66, 409.25, 644.05, 0.52, 31.15, -0.53, 44.00, -18.95,
b, 421.47, 610.70, 434.77, 617.68, 2.14, 29.64, -0.56, 44.00, -18.95,
y, 408.65, 577.58, 419.88, 586.52, 1.43, 27.83, -0.61, 44.00, -18.95,
r, 369.81, 639.86, 390.89, 644.43, -0.58, 31.20, -0.48, 44.00, -19.95,
g, 403.52, 651.30, 422.45, 656.32, 1.22, 31.86, -0.48, 44.00, -19.95,
b, 434.22, 622.89, 447.64, 630.21, 2.83, 30.34, -0.54, 44.00, -19.95,
y, 421.32, 590.50, 432.61, 599.00, 2.11, 28.55, -0.60, 44.00, -19.95,
r, 382.27, 652.53, 403.42, 656.56, 0.10, 31.90, -0.45, 44.00, -20.95,
g, 416.39, 663.72, 435.42, 668.36, 1.92, 32.56, -0.46, 44.00, -20.95,
b, 446.98, 635.64, 460.17, 642.04, 3.52, 31.03, -0.57, 44.00, -20.95,
y, 434.24, 603.17, 445.59, 611.23, 2.81, 29.25, -0.59, 44.00, -20.95,
r, 394.94, 664.99, 416.57, 668.89, 0.79, 32.62, -0.38, 44.00, -21.95,
g, 429.03, 676.14, 448.15, 680.87, 2.60, 33.27, -0.45, 44.00, -21.95,
b, 459.54, 648.40, 473.56, 654.56, 4.21, 31.76, -0.47, 44.00, -21.95,
y, 447.17, 615.84, 458.82, 623.71, 3.51, 29.97, -0.55, 44.00, -21.95,
r, 407.61, 677.66, 429.30, 681.43, 1.47, 33.34, -0.37, 44.00, -22.95,
g, 441.90, 689.01, 461.35, 693.37, 3.30, 34.00, -0.41, 44.00, -22.95,
b, 472.49, 660.96, 486.61, 666.91, 4.91, 32.47, -0.46, 44.00, -22.95,
y, 459.58, 628.51, 471.05, 635.94, 4.18, 30.66, -0.58, 44.00, -22.95,
r, 420.93, 690.55, 442.04, 693.36, 2.18, 34.02, -0.43, 44.00, -23.95,
g, 454.99, 701.42, 474.31, 705.64, 4.01, 34.69, -0.42, 44.00, -23.95,
b, 485.61, 673.53, 499.83, 679.27, 5.62, 33.18, -0.46, 44.00, -23.95,
y, 472.50, 640.66, 484.53, 648.18, 4.89, 31.37, -0.51, 44.00, -23.95,
r, 433.17, 703.43, 454.98, 706.50, 2.86, 34.78, -0.35, 44.00, -24.95,
g, 467.41, 714.07, 487.05, 718.38, 4.69, 35.42, -0.39, 44.00, -24.95,
b, 497.80, 686.10, 512.36, 691.79, 6.29, 33.89, -0.43, 44.00, -24.95,
y, 485.43, 653.84, 497.51, 660.66, 5.59, 32.09, -0.52, 44.00, -24.95,
r, 446.27, 715.89, 467.92, 718.64, 3.56, 35.48, -0.37, 44.00, -25.95,
g, 480.28, 727.61, 499.78, 730.42, 5.39, 36.14, -0.42, 44.00, -25.95,
b, 511.12, 698.66, 525.40, 704.49, 7.01, 34.60, -0.48, 44.00, -25.95,
y, 498.87, 667.03, 510.49, 673.39, 6.31, 32.80, -0.58, 44.00, -25.95,
r, 459.58, 728.56, 480.66, 731.37, 4.27, 36.18, -0.44, 44.00, -26.95,
g, 493.14, 740.03, 512.75, 743.85, 6.09, 36.87, -0.43, 44.00, -26.95,
b, 523.87, 711.60, 537.76, 717.19, 7.69, 35.30, -0.55, 44.00, -26.95,
y, 511.28, 679.43, 522.97, 686.37, 6.98, 33.52, -0.60, 44.00, -26.95,
r, 472.26, 741.66, 493.40, 743.51, 4.96, 36.89, -0.44, 44.00, -27.95,
g, 506.24, 752.67, 525.72, 755.89, 6.80, 37.57, -0.45, 44.00, -27.95,
b, 536.63, 724.36, 550.63, 729.37, 8.39, 36.01, -0.56, 44.00, -27.95,
y, 524.21, 692.62, 536.21, 698.85, 7.69, 34.25, -0.58, 44.00, -27.95,
